"Location","Slope","Intercept","R2","Fstat","p_value"
"Andaman Sea (West of South Thailand)",0.941421745921816,3.04236180660225,0.412420670135113,22.4607312979481,4.2333643644933e-05
"Antarctic Peninsula",0.174661257468258,0.0846077151890319,0.0902512371066917,220.928582961067,1.01723962586807e-47
"Apalachicola Bay, Florida",0.849441577005881,2.1598857208528,0.524190346741071,188.387412232564,2.2047300650663e-29
"Atlantic Ocean",0.193192569740489,2.85745946131671,0.137253446740325,2558.46855851019,0
"Cape Cod Bay, Gulf of Maine, New England",-0.0201378599050817,5.40888083633476,0.0474818095493318,4.28698964721138,0.0414038463655976
"Catalan Sea",0.257653872395841,-0.952957409501649,0.280072857461197,170.005867925651,4.70821273070316e-33
"Crooked Island Sound, Florida",0.50644882649248,2.08237595884505,0.293713022751524,42.0013624114544,3.37813443070399e-09
"Eastern Mediterranean",0.758854554993295,0.990458580574793,0.832431495683019,1813.21362963023,1.18903817090879e-143
"Europe, Celtic Sea ecosystem",0.446320367632759,2.25715038329077,0.360856572626596,1179.43695879791,2.57239252512457e-205
"French Polynesian EEZ",-0.00556091538134479,4.2551112701288,0.000315765731284326,1.26630467233975,0.260528431273423
"Great Channel South, Gulf of Maine, New England",0.189102075269559,4.78188070528493,0.125560409634164,107.548592095016,1.22745109878209e-23
"Great South Bay, Long Island, New York",0.381984962733834,1.32365013478472,0.268430572529679,108.242657392169,8.43412441946441e-22
"Greenland",0.258813702633504,-0.890679068680229,0.0982205090743172,5.1191715634985,0.0283256454055264
"Gulf of Alaska",0.0338830732461869,0.411614159549224,0.107557118856731,5.18235531770348,0.027854240672756
"Gulf of Maine, New England",0.0663098252650687,5.26883355273677,0.0191625310965619,1.64110024661962,0.203700055710905
"Jeffreys Ledge, Gulf of Maine, New England",0.0418092040734653,5.07230158640562,0.0403660041630353,17.8351182215045,2.95012458723306e-05
"Mid Atlantic",0.161223151338171,1.81344535923029,0.213159550595363,30.0705309875569,2.64521457418102e-07
"NE North Sea and Skaggerak",1.09890063283713,4.52185019186817,0.71542157959282,47.7654278662959,1.36957984453214e-06
"Off the Bay of Biscay",0.398498520629665,3.96152272843553,0.600482280712074,6628.30890870146,0
"Oxwich Bay, Wales",0.0778070237368166,-0.258244974791422,0.080545974091979,115.02137246974,8.77947893507578e-26
"South of Marthas Vineyard, New England",0.19057728672922,4.57379712897889,0.259004419552128,15.0300357176354,0.000357067809765134
"Stellwagen Bank, Gulf of Maine, New England",0.0630778596300332,5.1787851875952,0.0206425426109101,10.770673357914,0.00110170497482468
"Strait of Georgia",0.643818175194848,2.48848994862596,0.429210830976639,471.479147866134,2.19292470064804e-78
"W Greenland",0.144528950276767,-0.354453773738509,0.279511457719642,62.4594869342854,4.04589011430336e-13
"Western North Pacific",0.262425600046852,-0.735784572995829,0.249916753940325,148.267483759525,1.22350433682452e-29
